ID ,Traffic Volume Count Location  Address,Street,Date of Count,Total Passing Vehicle Volume,Vehicle Volume By Each Direction of Traffic
726,6656 West,Diversey Ave,8/10/2006,23900,East Bound: 12400 / West Bound: 11500
226,1905 South,Loomis St,3/9/2006,5300,North Bound: 2300 / South Bound: 3000
642,2859 North,Central Park Ave,10/17/2006,9000,North Bound: 3700 / South Bound: 5300
1121,1251 South,Michigan Ave,11/16/2006,21600,North Bound: 12500 / South Bound: 9100
929,3809 West,Diversey Ave,8/10/2006,17700,East Bound: 9300 / West Bound: 8400
1265,8333 South,Dr Martin Luther King Jr Dr,10/18/2006,19600,North Bound: 10300 / South Bound: 9300
14,4107 South,Cottage Grove Ave,3/30/2006,10800,North Bound: 5600 / South Bound: 5200
1165,1629 West,Warren Blvd,10/5/2006,4500,East Bound: 4500 / / Oneway East Bound
418,5900 West,Diversey Ave,8/10/2006,21800,East Bound: 11000 / West Bound: 10800
417,5741 West,Grand Ave,10/23/2006,21700,East Bound: 11700 / West Bound: 10000
70,2950 South,Michigan Ave,3/2/2006,13200,North Bound: 5100 / South Bound: 8100
1226,222 West,75th St,10/4/2006,20300,East Bound: 9800 / West Bound: 10500
573,2208 West,111th St,8/22/2006,22600,East Bound: 11100 / West Bound: 11500
593,7845 South,Cottage Grove Ave,10/18/2006,27300,North Bound: 13700 / South Bound: 13600
164,1445 West,63rd Street,3/28/2006,10800,East Bound: 5600 / West Bound: 5200
539,210 South,Clinton St,10/2/2006,11600,South Bound: 11600/ Oneway South Bound
1256,2856 East,79th St,10/18/2006,8600,East Bound: 3800 / West Bound: 4800
859,3501 North,Central Ave,10/26/2006,27200,North Bound: 14000 / South Bound: 13200
770,2761 North,Narragansett Ave,10/25/2006,23700,North Bound: 11100 / South Bound: 12600
1376,1325 West,Granville Ave,11/2/2006,6400,East Bound: 3300 / West Bound: 3100
511,777 West,Chicago Ave,9/19/2006,27600,East Bound: 13000 / West Bound: 14600
1333,290 North,Wells St,9/19/2006,12200,South Bound: 12200/ Oneway South Bound 
876,8500 West,Forest Preserve Ave,10/25/2006,10400,East Bound: 4200 / West Bound: 6200
1361,140 East,South Water Lower St,9/26/2006,10600,East Bound: 6400 / West Bound: 4200
749,186 North,Des Plaines St,10/2/2006,7300,South Bound: 7300/ Oneway South Bound
806,1 West,Grand Ave,9/21/2006,18800,West Bound: 18800/ Oneway West Bound 
983,1350 West,Lawrence Ave,11/7/2006,20700,East Bound: 10300 / West Bound: 10400
1015,15 South,Wells St,9/19/2006,9900,South Bound: 9900/ Oneway South Bound 
1147,115 South,Sacramento Ave,10/9/2006,22100,North Bound: 11200 / South Bound: 10900
372,1760 West,Ogden Ave,5/9/2006,20100,East Bound: 9700 / West Bound: 10400
578,158 East,107th St,8/29/2006,8000,East Bound: 3600 / West Bound: 4400
175,718 West,76th Street,3/28/2006,15400,East Bound: 7800 / West Bound: 7600
1321,3018 East,95th St,11/14/2006,8000,East Bound: 3700 / West Bound: 4300
1000,5017 North,Western Ave,8/15/2006,33100,North Bound: 17300 / South Bound: 15800
719,5205 North,Nagle Ave,8/22/2006,18300,North Bound: 9400 / South Bound: 8900
893,6911 West,Irving Park Rd,8/24/2006,28600,East Bound: 13600 / West Bound: 15000
197,1428 West,87th Street,3/28/2006,31600,East Bound: 16000 / West Bound: 15600
1184,1257 West,Roosevelt Rd,10/19/2006,26800,East Bound: 13700 / West Bound: 13100
438,3543 West,North Ave,10/18/2006,39500,East Bound: 20200 / West Bound: 19300
1293,3755 East,112th St,10/18/2006,6300,East Bound: 3500 / West Bound: 2800
967,5051 North,Broadway,8/24/2006,25000,North Bound: 13100 / South Bound: 11900
208,948 West,95th Street,3/22/2006,29100,East Bound: 14900 / West Bound: 14200
1077,843 South,Columbus Dr,9/19/2006,37000,North Bound: 18700 / South Bound: 18300
1343,425 South,Wacker Dr,9/19/2006,4900,North Bound: 2400 / South Bound: 2500
1216,6231 South,Narragansett Ave,9/12/2006,10800,North Bound: 5500 / South Bound: 5300
55,5848 South,Indiana Ave,3/2/2006,4400,North Bound: 4400 / / Oneway North Bound
844,2830 West,87th St,8/17/2006,29400,East Bound: 14800 / West Bound: 14600
763,2235 South,Damen Ave,8/17/2006,24000,North Bound: 12900 / South Bound: 11100
908,4850 West,Peterson Ave,9/21/2006,42800,East Bound: 21200 / West Bound: 21600
452,1420 West,Pratt Blvd,8/23/2006,7100,East Bound: 3900 / West Bound: 3200
29,3630 South,Damen Ave,3/1/2006,7000,North Bound: 3200 / South Bound: 3800
1046,335 West,59th St,9/20/2006,16800,East Bound: 8000 / West Bound: 8800
953,1256 West,Addison Ave,8/15/2006,19800,East Bound: 10100 / West Bound: 9700
1126,624 South,Michigan Ave,9/26/2006,33100,North Bound: 16400 / South Bound: 16700
317,575 West,26TH  ST,3/28/2006,6900,East Bound: 2500 / West Bound: 4400
330,1650 East,Midway Plaisance,3/28/2006,13400,East Bound: 7600 / West Bound: 5800
350,2010 South,Calumet Ave,10/17/2006,2400,North Bound: 1700 / South Bound: 700
608,3835 South,Damen Ave,8/17/2006,25800,North Bound: 12200 / South Bound: 13600
472,3908 West,Marquette St,8/22/2006,18000,East Bound: 8300 / West Bound: 9700
45,7952 South,Exchange Ave,3/7/2006,7400,North Bound: 3500 / South Bound: 3900
1366,6350 South,Cornell Dr,8/24/2006,47900,North Bound: 25800 / South Bound: 22100
1328,333 North,Wabash Ave,9/19/2006,10400,North Bound: 2500 / South Bound: 7900
31,4936 South,Damen Ave,3/9/2006,10900,North Bound: 5900 / South Bound: 5000
1355,430 South,Michigan Ave,10/31/2006,33500,North Bound: 17200 / South Bound: 16300
698,249 South,Columbus Dr,11/7/2006,30100,North Bound: 13900 / South Bound: 16200
285,261 East,59th St,3/28/2006,6500,East Bound: 3400 / West Bound: 3100
422,3220 East,134th St,8/31/2006,4700,East Bound: 2500 / West Bound: 2200
66,2350 South,Dr Martin Luther King Jr Dr,5/2/2006,18100,North Bound: 10700 / South Bound: 7400
1138,346 South,Pulaski Rd,10/4/2006,23800,North Bound: 12200 / South Bound: 11600
779,5543 North,Lincoln  Ave,8/16/2006,24400,North Bound: 12000 / South Bound: 12400
18,6533 South,Cottage Grove Ave,3/1/2006,19100,North Bound: 9800 / South Bound: 9300
613,2130 South,Marshall Blvd,9/14/2006,18800,North Bound: 8600 / South Bound: 10200
207,1222 West,95th Street,3/28/2006,32900,East Bound: 17200 / West Bound: 15700
774,3531 North,Broadway,10/16/2006,14700,North Bound: 6200 / South Bound: 8500
847,1420 West,Madison St,10/12/2006,12400,East Bound: 5300 / West Bound: 7100
404,2125 North,Cicero Ave,10/16/2006,39900,North Bound: 18800 / South Bound: 21100
543,239 South,Dearborn St,9/20/2006,17900,North Bound: 17900 / / Oneway North Bound 
130,721 South,Western Ave,3/22/2006,29500,North Bound: 14900 / South Bound: 14600
1365,7139 South,Stony Island Ave,8/24/2006,81100,North Bound: 46300 / South Bound: 34800
631,2427 North,Kedzie Ave,10/9/2006,17400,North Bound: 8500 / South Bound: 8900
664,3620 North,Lake Shore Inner Dr,9/18/2006,18900,North Bound: 6100 / South Bound: 12800
905,2228 North,Narragansett Ave,10/25/2006,16200,North Bound: 8500 / South Bound: 7700
987,4322 North,Lincoln Ave,9/18/2006,14100,North Bound: 7100 / South Bound: 7000
753,9761 South,Cottage Grove Ave,10/4/2006,14000,North Bound: 7400 / South Bound: 6600
810,408 South,Clark St,9/20/2006,13000,South Bound: 13000/ Oneway South Bound 
864,5050 North,Cicero Ave,8/8/2006,25900,North Bound: 12700 / South Bound: 13200
147,8216 South,Stony Island Ave,4/4/2007,61600,North Bound: 32800 / South Bound: 28800
1004,1031 South,Austin Ave,10/26/2006,26100,North Bound: 12800 / South Bound: 13300
389,11600 South,Halsted St,8/31/2006,30300,North Bound: 16100 / South Bound: 14200
1287,12535 South,Halsted St,11/8/2006,23600,North Bound: 12500 / South Bound: 11100
220,7141 South,Chicago Ave,3/28/2006,19100,North Bound: 10000 / South Bound: 9100
1142,225 West,Randolph St,9/19/2006,18500,West Bound: 18500/ Oneway West Bound 
1221,3636 South,Western Ave,10/26/2006,32200,North Bound: 15600 / South Bound: 16600
1020,1314 West,18th St,10/16/2006,9500,East Bound: 5000 / West Bound: 4500
582,11810 South,Western Ave,8/22/2006,23600,North Bound: 11300 / South Bound: 12300
498,350 East,Jackson Dr,9/28/2006,17600,East Bound: 8900 / West Bound: 8700
179,2830 West,79th Street,3/28/2006,33300,East Bound: 20600 / West Bound: 12700
879,6058 West,Foster Ave,10/11/2006,17300,East Bound: 9100 / West Bound: 8200
971,3137 North,Damen Ave,8/16/2006,19200,North Bound: 10100 / South Bound: 9100
602,5413 South,Kedzie Ave,8/10/2006,24300,North Bound: 12500 / South Bound: 11800
684,5232 North,Western Ave,8/15/2006,34600,North Bound: 17000 / South Bound: 17600
921,2737 West,Belmont Ave,10/16/2006,23800,East Bound: 11900 / West Bound: 11900
1175,2222 South,Halsted St,10/24/2006,21900,North Bound: 10800 / South Bound: 11100
212,1057 East,95th Street,3/22/2006,22000,East Bound: 11500 / West Bound: 10500
25,1959 South,Damen Ave,3/2/2006,15300,North Bound: 7700 / South Bound: 7600
1236,3210 South,Halsted St,10/26/2006,17600,North Bound: 9200 / South Bound: 8400
1347,457 South,Financial PL,9/21/2006,2800,North Bound: 2200 / South Bound: 600
457,1649 West,Foster Ave,8/22/2006,25600,East Bound: 11600 / West Bound: 14000
938,4875 North,Kedzie Ave,8/16/2006,14300,North Bound: 7300 / South Bound: 7000
60,7335 South,Jeffery Blvd,5/4/2006,24300,North Bound: 11200 / South Bound: 13100
1042,310 West,31st St,10/19/2006,14300,East Bound: 6900 / West Bound: 7400
111,1515 South,Clark St,3/22/2006,23000,North Bound: 12700 / South Bound: 10300
651,3647 North,Oak Park Ave,10/25/2006,18800,North Bound: 9600 / South Bound: 9200
1090,2029 West,Division St,10/18/2006,23700,East Bound: 12100 / West Bound: 11600
313,813 West,Roosevelt Rd,4/25/2006,31600,East Bound: 15300 / West Bound: 16300
831,45 West,31st St,10/18/2006,14100,East Bound: 7600 / West Bound: 6500
949,3335 West,North Ave,10/16/2006,38600,East Bound: 18100 / West Bound: 20500
451,51 West,Ontario St,9/26/2006,18400,West Bound: 18400/ Oneway West Bound 
1204,8044 South,Cicero Ave,10/23/2006,56800,North Bound: 28400 / South Bound: 28400
356,6100 South,Cornell Dr,10/26/2006,43000,North Bound: 23100 / South Bound: 19900
174,1908 West,76th Street,3/28/2006,8000,East Bound: 3700 / West Bound: 4300
253,2307 West,35th St,3/30/2006,10200,East Bound: 5300 / West Bound: 4900
318,140 East,26th St,3/28/2006,7800,East Bound: 3700 / West Bound: 4100
485,8318 West,Addison St,8/14/2006,11100,East Bound: 5400 / West Bound: 5700
71,3311 South,Michigan Ave,3/2/2006,8100,South Bound: 8100/ Oneway South Bound
345,188 West,Polk St,5/2/2006,8900,East Bound: 5100 / West Bound: 3800
94,2140 South,Archer Ave,3/8/2006,11800,North Bound: 5200 / South Bound: 6600
1189,5508 West,55th St,10/31/2006,25400,East Bound: 12200 / West Bound: 13200
289,2235 West,Cermak Rd,3/30/2006,13700,East Bound: 7500 / West Bound: 6200
1332,299 North,La Salle St,9/21/2006,26900,North Bound: 13800 / South Bound: 13100
36,3030 South,Dr Martin Luther King Jr Dr,3/14/2006,19900,North Bound: 10000 / South Bound: 9900
240,7119 South,Racine Ave,3/28/2006,11100,North Bound: 5400 / South Bound: 5700
514,3500 West,Grand Ave,10/23/2006,15700,East Bound: 7900 / West Bound: 7800
994,5816 North,Ridge Ave,10/17/2006,43100,North Bound: 20600 / South Bound: 22500
531,6780 West,Higgins Ave,8/22/2006,17500,East Bound: 7600 / West Bound: 9900
187,2726 East,79th St,3/28/2006,11400,East Bound: 5100 / West Bound: 6300
815,2350 West,119th St,8/24/2006,19900,East Bound: 9300 / West Bound: 10600
851,2653 North,Austin Ave,10/25/2006,22200,North Bound: 9700 / South Bound: 12500
202,920 East,87th Street,3/23/2006,19400,East Bound: 9600 / West Bound: 9800
635,2825 North,Halsted St,10/16/2006,19500,North Bound: 10300 / South Bound: 9200
480,3142 West,16th St,9/14/2006,2900,East Bound: 1500 / West Bound: 1400
1120,600 West,Madison St,9/20/2006,17400,West Bound: 17400/ Oneway West Bound 
1198,6607 West,Archer Ave,9/12/2006,41600,East Bound: 21500 / West Bound: 20100
351,460 South,Canal St,10/2/2006,15600,North Bound: 10400 / South Bound: 5200
408,1425 West,Diversey Ave,8/10/2006,21700,East Bound: 10400 / West Bound: 11300
668,3625 North,Ashland Ave,8/29/2006,32100,North Bound: 15400 / South Bound: 16700
235,3538 South,Racine Ave,3/23/2006,2600,North Bound: 1100 / South Bound: 1500
693,6445 North,Central Ave,8/15/2006,17500,North Bound: 8800 / South Bound: 8700
281,1715 West,59th Street,3/28/2006,11700,East Bound: 5900 / West Bound: 5800
524,2366 North,Central Ave,10/26/2006,20000,North Bound: 9500 / South Bound: 10500
1225,1301 West,63rd St,10/11/2006,11300,East Bound: 5800 / West Bound: 5500
900,5913 North,Lincoln Ave,10/17/2006,31600,North Bound: 16600 / South Bound: 15000
125,8940 South,Vincennes Ave,3/21/2006,16300,North Bound: 8800 / South Bound: 7500
264,1707 West,47th St,3/29/2006,18100,East Bound: 9100 / West Bound: 9000
143,9750 South,Stony Island Ave,3/9/2006,43500,North Bound: 22600 / South Bound: 20900
553,3233 West,Washington St,10/5/2006,8200,West Bound: 8200/ Oneway West Bound
1240,3610 South,Morgan St,10/19/2006,6900,North Bound: 2300 / South Bound: 4600
1007,725 South,Central Park Ave,10/12/2006,10700,North Bound: 4600 / South Bound: 6100
1097,2312 West,Grand Ave,10/23/2006,18400,East Bound: 9000 / West Bound: 9400
380,1550 South,Lake Shore Dr,4/5/2006,165200,North Bound: 86200 / South Bound: 79000
617,1539 South,Pulaski Rd,9/12/2006,21700,North Bound: 11600 / South Bound: 10100
868,4151 North,Cumberland Ave,8/17/2006,43900,North Bound: 21200 / South Bound: 22700
100,1447 South,Ashland Ave,3/21/2006,38300,North Bound: 19800 / South Bound: 18500
385,10452 South,Kedzie Ave,8/22/2006,22000,North Bound: 11300 / South Bound: 10700
1038,5253 West,Roosevelt Rd,10/19/2006,21700,East Bound: 10800 / West Bound: 10900
1133,57 West,Ohio St,9/21/2006,32800,East Bound: 32800 / / Oneway East Bound 
884,2920 North,Harlem Ave,12/11/2006,23200,North Bound: 11500 / South Bound: 11700
974,1804 North,Damen Ave,8/16/2006,16700,North Bound: 8000 / South Bound: 8700
519,303 East,Chicago Ave,10/3/2006,11900,East Bound: 6800 / West Bound: 5100
647,3280 North,Cumberland Ave,10/25/2006,37700,North Bound: 19200 / South Bound: 18500
1054,755 North,Ashland Ave,10/26/2006,30500,North Bound: 15800 / South Bound: 14700
826,4825 West,Lawrence Ave,8/10/2006,28900,East Bound: 14000 / West Bound: 14900
169,1733 East,67th St,3/28/2006,10300,East Bound: 4700 / West Bound: 5600
1261,6650 South,Jeffery Ave,9/6/2006,29200,North Bound: 14600 / South Bound: 14600
431,2703 West,Cermak Rd,9/14/2006,14200,East Bound: 7600 / West Bound: 6600
737,633 North,Wells St,9/20/2006,9400,South Bound: 9400/ Oneway South Bound 
309,340 West,Pershing Rd,4/25/2006,15400,East Bound: 7800 / West Bound: 7600
1312,710 West,87th  St,12/20/2006,32500,East Bound: 15800 / West Bound: 16700
75,9642 South,Michigan Ave,3/15/2006,8100,North Bound: 3600 / South Bound: 4500
679,4853 North,Nagle Ave,8/22/2006,22700,North Bound: 11300 / South Bound: 11400
945,2761 North,Milwaukee Ave,8/23/2006,18100,North Bound: 7900 / South Bound: 10200
743,180 North,Wabash Ave,11/7/2006,8200,South Bound: 8200/ Oneway South Bound 
791,465 North,Desplaines St,10/2/2006,4500,North Bound: 2000 / South Bound: 2500
245,68 West,18th St,4/26/2006,8100,East Bound: 3900 / West Bound: 4200
322,1171 West,74th St,3/28/2006,10100,East Bound: 4900 / West Bound: 5200
1027,5212 West,Harrison St,11/15/2006,6500,East Bound: 3300 / West Bound: 3200
934,3130 West,Fullerton Ave,11/14/2006,30400,East Bound: 15200 / West Bound: 15200
1158,444 North,Wabash Ave,9/19/2006,8800,North Bound: 2800 / South Bound: 6000
490,2314 West,Peterson Ave,8/22/2006,44000,East Bound: 22900 / West Bound: 21100
1208,660 West,Grand Ave,9/21/2006,19000,East Bound: 8400 / West Bound: 10600
154,2701 East,100th St,5/4/2006,11000,East Bound: 5400 / West Bound: 5600
836,10 East,Grand Ave,11/7/2006,20100,West Bound: 20100/ Oneway West Bound 
430,2738 West,47th St,8/10/2006,23700,East Bound: 12000 / West Bound: 11700
107,8140 South,Ashland Ave,3/14/2006,26300,North Bound: 13600 / South Bound: 12700
155,3250 East,100th St,5/4/2006,12800,East Bound: 7300 / West Bound: 5500
708,549 North,Milwaukee Ave,10/24/2006,11100,North Bound: 5100 / South Bound: 6000
1072,1101 South,Clark St,9/21/2006,25800,North Bound: 14300 / South Bound: 11500
446,4517 West,North Ave,10/18/2006,34900,East Bound: 16500 / West Bound: 18400
1061,536 North,Central Park Ave,11/13/2006,7600,North Bound: 4500 / South Bound: 3100
137,7521 South,Western Ave,3/14/2006,27300,North Bound: 14100 / South Bound: 13200
269,1706 West,51st Street,3/29/2006,9600,East Bound: 4400 / West Bound: 5200
464,10 West,Lake St,10/2/2006,13700,East Bound: 13700 / / Oneway East Bound
1298,1916 East,95th St,9/6/2006,36100,East Bound: 17600 / West Bound: 18500
3,1275 West,71st Street,2/28/2006,16500,East Bound: 7800 / West Bound: 8700
1193,2600 West,63rd St,8/15/2006,19100,East Bound: 9800 / West Bound: 9300
1342,462 West,Van Buren St,9/20/2006,10200,West Bound: 10200/ Oneway West Bound 
293,415 West,Cermak Rd,5/8/2006,12300,East Bound: 5200 / West Bound: 7100
917,4459 West,Armitage Ave,8/10/2006,17200,East Bound: 8400 / West Bound: 8800
546,603 West,Monroe St,9/20/2006,13800,East Bound: 13800 / / Oneway East Bound 
566,155 West,Grand Ave,11/7/2006,14200,West Bound: 14200/ Oneway West Bound
341,1219 South,Jefferson St,3/28/2006,4800,North Bound: 2600 / South Bound: 2200
90,2130 South,Wentworth Ave,3/7/2006,4500,North Bound: 2300 / South Bound: 2200
230,6732 South,Loomis St,3/9/2006,5900,North Bound: 2700 / South Bound: 3200
336,1739 West,Harrison St,3/28/2006,10600,East Bound: 4800 / West Bound: 5800
1161,250 South,Wacker Dr,9/19/2006,14700,North Bound: 7600 / South Bound: 7100
321,771 East,60th St,3/28/2006,2900,East Bound: 1600 / West Bound: 1300
1303,8800 South,Macknaw Ave,10/18/2006,13000,North Bound: 6700 / South Bound: 6300
258,521 East,35th St,5/9/2006,9600,East Bound: 4000 / West Bound: 5600
489,3318 West,Peterson Ave,8/22/2006,38300,East Bound: 20300 / West Bound: 18000
10,8539 South,Commercial Ave,3/7/2006,10000,North Bound: 5000 / South Bound: 5000
990,1758 West,Montrose Ave,10/31/2006,16800,East Bound: 7300 / West Bound: 9500
274,718 East,51st St,4/27/2006,9100,East Bound: 4200 / West Bound: 4900
74,5352 South,Michigan Ave,3/2/2006,7900,South Bound: 7900/ Oneway South Bound
412,5862 West,Jackson Blvd,11/14/2006,9800,East Bound: 4100 / West Bound: 5700
138,8941 South,Western Ave,3/14/2006,30800,North Bound: 15000 / South Bound: 15800
551,2825 West,31st St,9/14/2006,17700,East Bound: 8800 / West Bound: 8900
1012,3935 West,Washington St,11/15/2006,16300,East Bound: 8300 / West Bound: 8000
476,4630 West,55th St,9/12/2006,23300,East Bound: 12100 / West Bound: 11200
727,1928 North,Oak Park Ave,10/25/2006,13000,North Bound: 6500 / South Bound: 6500
299,5434 South,Hyde Park Blvd,4/27/2006,7400,North Bound: 3100 / South Bound: 4300
568,4581 North,Western Ave,8/16/2006,38300,North Bound: 16900 / South Bound: 21400
709,640 North,Wabash Ave,9/19/2006,7400,South Bound: 7400/ Oneway South Bound 
586,9401 South,Cottage Grove Ave,10/4/2006,24400,North Bound: 12600 / South Bound: 11800
855,7368 West,Belmont Ave,11/14/2006,24100,East Bound: 12800 / West Bound: 11300
995,6629 North,Sheridan Rd,8/24/2006,41200,North Bound: 21100 / South Bound: 20100
103,6154 South,Ashland Ave,3/14/2006,23500,North Bound: 11800 / South Bound: 11700
225,1359 South,Loomis St,3/22/2006,4200,North Bound: 2300 / South Bound: 1900
1296,2014 East,87th St,9/6/2006,15300,East Bound: 7100 / West Bound: 8200
1242,1450 West,Pershing Rd,10/11/2006,23300,East Bound: 11200 / West Bound: 12100
820,4418 West,26th St,11/16/2006,14800,East Bound: 7300 / West Bound: 7500
872,6041 West,Diversey Ave,8/10/2006,21600,East Bound: 11100 / West Bound: 10500
413,5700 West,Washington St,10/19/2006,10800,East Bound: 4600 / West Bound: 6200
244,223 West,18th Street,3/30/2006,8500,East Bound: 4300 / West Bound: 4200
398,1600 West,Ogden Ave,10/12/2006,19900,North Bound: 9500 / South Bound: 10400
